Batch,Lipid Class,Lipid Species
1,PS,PS(18:1_20:2)
,PS,PS(18:1_20:4)
,PS,PS(18:3_20:5)
,PS,PS(24:2_10:1)
,PS,PS(33:0)
,PS,PS(33:4)
,PS,PS(38:6)
,PS,PS(38:5)
,PS,PS(39:1)
,PS,PS(39:3)
,PS,PS(39:5)
2,PS,PS(18:1_20:2)
,PS,PS(18:1_20:4)
,PS,PS(18:3_20:5)
,PS,PS(19:0_18:1)
,PS,PS(33:0)
,PS,PS(33:4)
,PS,PS(38:5)
,PS,PS(38:6)
,PS,PS(39:1)
,PS,PS(39:3)
,PS,PS(39:5)
3,PS,PS(18:1_20:2)
,PS,PS(18:1_20:4)
,PS,PS(18:3_20:5)
,PS,PS(19:0_18:1)
,PS,PS(33:0)
,PS,PS(34:4)
,PS,PS(38:5)
,PS,PS(38:6)
,PS,PS(39:1)
,PS,PS(39:3)
,PS,PS(39:5)
4,PS,PS(18:1_20:2)
,PS,PS(18:1_20:4)
,PS,PS(18:3_20:5)
,PS,PS(19:0_18:1)
,PS,PS(33:0)
,PS,PS(34:4)
,PS,PS(38:5)
,PS,PS(38:6)
,PS,PS(39:1)
,PS,PS(39:3)
,PS,PS(39:5)
1,PE,PE(16:0_22:6)
,PE,PE(16:1_20:1)
,PE,PE(18:1_21:1)
,PE,PE(18:4_20:5)
,PE,PE(20:2_18:2)
,PE,PE(25:1_11:0)
,PE,PE(38:7)
2,PE,PE(16:1_20:1)
,PE,PE(18:1_21:1)
,PE,PE(18:4_16:1)
,PE,PE(18:4_20:4)
,PE,PE(18:4_20:5)
,PE,PE(20:2_18:2)
,PE,PE(20:0_18:3)
,PE,PE(16:0_19:0)
,PE,PE(16:0_22:6)
,PE,PE(25:1_11:0)
,PE,PE(26:0_11:2)
,PE,PE(38:7)
3,PE,PE(16:0_22:6)
,PE,PE(16:1_20:1)
,PE,PE(18:1_21:1)
,PE,PE(18:4_16:1)
,PE,PE(18:4_20:4)
,PE,PE(20:2_18:2)
,PE,PE(25:1_11:0)
,PE,PE(38:1)
,PE,PE(38:7)
,PE,PE(38:9)
4,PE,PE(16:0_19:0)
,PE,PE(16:1_20:1)
,PE,PE(16:0_22:6)
,PE,PE(18:1_21:1)
,PE,PE(18:4_16:1)
,PE,PE(18:4_20:4)
,PE,PE(18:4_20:5)
,PE,PE(20:2_18:2)
,PE,PE(25:1_11:0)
,PE,PE(38:7)
,PE,PE(38:9)
1,P1,PI(16:1_18:3)+NH4
,PI,PI(30:1)
,PI,PI(32:1)
2,PI,PI(18:3_18:2)
,PI,PI(30:1)
,PI,PI(33:0)
,PI,PI(36:2)
3,PI,PI(18:3_18:2)
,PI,PI(33:0)
,PI,PI(32:1)
,PI,PI(36:2)
4,PI,PI(32:1)
1,PG,PG(34:3)
2,PG,None
3,PG,PG(34:3)
4,PG,PG(34:3)
1,DG,DG(18:1_20:5)
,DG,DG(16:0_20:5)
,DG,DG(18:4_16:0)
,DG,DG(16:0_20:4)
2,DG,DG(18:1_20:5)
,DG,DG(16:0_20:4)
,DG,DG(18:1_20:5)
,DG,DG(22:6_22:6)+NH4
3,DG,DG(18:1_20:5)
,DG,DG(16:0_20:5)
4,DG,DG(18:1_20:5)
,DG,DG(16:0_20:5)
,DG,DG(18:4_16:0)
1,LPC,LPC(20:4)
2,LPC,LPC(20:4)
3,LPC,LPC(20:4)
4,LPC,LPC(20:4)
